WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-7.2 47.45,-7.2 47.5,-7.15 47.5,-7.15 47.45,-7.2 47.45))",20.8926886710687,113.443389592983,8.8485843882527,Bay of Biscay and the Iberian Coast,"23E2",7400:477:141:4,47.475,-7.175
"POLYGON ((-6.75 47.5,-6.75 47.55,-6.7 47.55,-6.7 47.5,-6.75 47.5))",20.8728010644773,39.6273823988923,3.03896412696762,Bay of Biscay and the Iberian Coast,"24E3",7400:476:457:1,47.525,-6.725
"POLYGON ((-1.6 43.75,-1.6 43.8,-1.55 43.8,-1.55 43.75,-1.6 43.75))",22.3192124619487,109.852079268759,11.8368293024559,Bay of Biscay and the Iberian Coast,"16E8",7400:131:475:4,43.775,-1.575
"POLYGON ((-2.5 46.3,-2.5 46.35,-2.45 46.35,-2.45 46.3,-2.5 46.3))",21.345681771724,165.57136985529,11.6133568607659,Bay of Biscay and the Iberian Coast,"21E7",7400:362:134:2,46.325,-2.475
"POLYGON ((-4.25 46.55,-4.25 46.6,-4.2 46.6,-4.2 46.55,-4.25 46.55))",21.2479302446158,220.610392271788,17.1851447607141,Bay of Biscay and the Iberian Coast,"22E5",7400:364:352:3,46.575,-4.225
"POLYGON ((-6.8 47.8,-6.8 47.85,-6.75 47.85,-6.75 47.8,-6.8 47.8))",20.753142149394,26.0253752094062,2.02997926633369,Bay of Biscay and the Iberian Coast,"24E3",7400:476:487:2,47.825,-6.775
"POLYGON ((-7.4 47.95,-7.4 48.0,-7.35 48.0,-7.35 47.95,-7.4 47.95))",20.6930991270069,38.3547164979986,2.99166788684389,Bay of Biscay and the Iberian Coast,"24E2",7400:477:393:4,47.975,-7.375
"POLYGON ((-2.65 45.05,-2.65 45.1,-2.6 45.1,-2.6 45.05,-2.65 45.05))",21.8283065926631,10.0258185847538,0.762606190608371,Bay of Biscay and the Iberian Coast,"19E7",7400:352:206:3,45.075,-2.625
"POLYGON ((-7.3 47.8,-7.3 47.85,-7.25 47.85,-7.25 47.8,-7.3 47.8))",20.753142149394,84.216996527006,6.56892572910647,Bay of Biscay and the Iberian Coast,"24E2",7400:477:382:2,47.825,-7.275
"POLYGON ((-5.6 46.95,-5.6 47.0,-5.55 47.0,-5.55 46.95,-5.6 46.95))",21.0906871559989,3.04268430802005,0.219186813010736,Bay of Biscay and the Iberian Coast,"22E4",7400:465:495:4,46.975,-5.575
"POLYGON ((-1.75 44.35,-1.75 44.4,-1.7 44.4,-1.7 44.35,-1.75 44.35))",22.0940530513753,496.628393725476,40.7016631383517,Bay of Biscay and the Iberian Coast,"17E8",7400:141:237:3,44.375,-1.725
"POLYGON ((-7.5 47.55,-7.5 47.6,-7.45 47.6,-7.45 47.55,-7.5 47.55))",20.8528975623398,14.5005865424745,1.13104575031301,Bay of Biscay and the Iberian Coast,"24E2",7400:477:354:4,47.575,-7.475
"POLYGON ((-7.15 47.55,-7.15 47.6,-7.1 47.6,-7.1 47.55,-7.15 47.55))",20.8528975623398,430.187827838065,33.5546505713691,Bay of Biscay and the Iberian Coast,"24E2",7400:477:351:3,47.575,-7.125
