"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"rju.27.8ab",2020,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"rju.27.8c",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"rju.27.8c",2020,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"rju.27.9a",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"rju.27.9a",2020,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"rng.27.1245a8914ab",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"rng.27.1245a8914ab",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"sbr.27.6-8",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"sbr.27.6-8",2020,"PA","Precautionary approach","GREY","qual_RED","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"sbr.27.9",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"sbr.27.9",2020,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
